node,lat,lon
5416200240,12.6470356,78.6353973
5416200273,12.6531256,78.6344773
5416200282,12.6539919,78.6325568
5416200297,12.643068,78.6394581
5416200304,12.6422122,78.6410218
5416200313,12.6426676,78.6427438
5416200432,12.6391841,78.6475825
5416200443,12.6433742,78.6499241
5416200444,12.6436909,78.649967
5416200457,12.646117,78.6433956
5416200459,12.6467399,78.6426929
5416200475,12.6508802,78.639155
5416200478,12.651312,78.639088
5416200491,12.6533795,78.6368591
5416200495,12.6541908,78.6359283
5416200510,12.6578834,78.630867
5416200527,12.6608563,78.626385
5416200530,12.6611327,78.6256264
5416200535,12.6619633,78.625567
5416200554,12.6652607,78.6249796
5416200558,12.6660955,78.6241347
5416200574,12.6696022,78.622528
5416200732,12.636245,78.6550847
5416200753,12.6426126,78.6508951
5416200754,12.6430445,78.6509621
5416200761,12.644586,78.6499456
5416994980,12.6767797,78.6343076
5416994984,12.6769069,78.6366228
5416994985,12.6769319,78.6358513
5416994986,12.6772277,78.6358827
5416994987,12.6765282,78.6365725
5416994988,12.6772722,78.6366713
5416994990,12.6791118,78.635923
5416994991,12.6792165,78.6369315
5416994992,12.677581,78.6367223
5416994993,12.6785126,78.6368644
5416994996,12.678701,78.6359256
5416995000,12.678803,78.6351559
5416995001,12.6781593,78.6350432
5416995002,12.6782085,78.6345143
5416995004,12.6784105,78.6329511
5416995006,12.6802109,78.6328277
5416995007,12.6797779,78.6332409
5416995008,12.6799361,78.6327258
5416995009,12.6796927,78.6326238
5416995011,12.6802682,78.6334158
5416995012,12.679742,78.63373
5416995013,12.6794913,78.6336342
5416995014,12.6797393,78.6332268
5416995016,12.679609,78.633678
5416995017,12.6793813,78.6358881
5416995019,12.6798479,78.6346875
5416995020,12.6799518,78.6338121
5416995021,12.6812785,78.6348689
5416995022,12.6805092,78.6347669
5416995023,12.6795043,78.6346462
5416995024,12.6788946,78.6345953
5416995025,12.6775391,78.6344022
5416995026,12.6778348,78.6349949
5416995027,12.677895,78.6344773
5416995030,12.6804202,78.6334687
5416995031,12.680012,78.6333266
5416995032,12.6794991,78.6331388
5416995034,12.6781671,78.6325729
5416995038,12.6786748,78.6312345
5416995039,12.6783391,78.6308147
5416995040,12.6755032,78.6333024
5416995042,12.6715884,78.6343619
5416995044,12.6720594,78.6338174
5416995047,12.6726037,78.6319908
5416995048,12.6723054,78.6328116
5416995051,12.6730046,78.6328846
5416995054,12.673271,78.6318943
5416995055,12.6736819,78.6307114
5416995058,12.674077,78.6312613
5416995061,12.6754114,78.6320234
5416995062,12.6730617,78.6325836
5416995063,12.6734202,78.6326641
5416995064,12.6737866,78.6327419
5416995065,12.6743256,78.6329108
5416995068,12.6745925,78.6326319
5416995070,12.6752468,78.6322537
5416995071,12.6755268,78.6318621
5416995073,12.6757283,78.6315751
